GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
8600000US51640,51640,ZCTA5 51640,1562,163,1506,157,3,4,3,5,0,11,0,11,9,10,41,27,0,11,41,27
8600000US52542,52542,ZCTA5 52542,438,166,415,153,22,29,0,11,1,4,0,11,0,11,0,11,0,11,0,11
8600000US52573,52573,ZCTA5 52573,121,65,120,65,0,11,0,11,0,11,0,11,0,11,1,4,0,11,1,4
8600000US52626,52626,ZCTA5 52626,1636,252,1584,247,0,11,4,6,0,11,0,11,0,11,48,29,0,11,48,29
8600000US63005,63005,ZCTA5 63005,17761,663,16187,596,211,165,15,18,1154,259,11,18,31,33,152,80,0,17,152,80
8600000US63010,63010,ZCTA5 63010,36306,745,35117,795,131,132,84,80,294,157,66,102,82,64,532,211,0,23,532,211
8600000US63011,63011,ZCTA5 63011,37338,812,33917,988,1058,346,53,73,1793,539,0,23,59,65,458,224,11,19,447,222
8600000US63012,63012,ZCTA5 63012,10654,896,10479,909,68,83,0,17,21,31,0,17,0,17,86,57,6,10,80,57
8600000US63013,63013,ZCTA5 63013,1563,391,1563,391,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US63014,63014,ZCTA5 63014,500,127,494,127,6,10,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US63015,63015,ZCTA5 63015,2249,439,2249,439,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US63016,63016,ZCTA5 63016,7600,574,7534,580,2,4,0,15,4,7,0,15,0,15,60,57,0,15,60,57
8600000US63017,63017,ZCTA5 63017,41655,775,35174,937,1524,508,21,24,3874,602,0,23,356,219,706,230,30,34,676,231
8600000US63019,63019,ZCTA5 63019,4468,166,4027,252,105,72,52,41,10,17,0,11,66,81,208,143,0,11,208,143
8600000US63020,63020,ZCTA5 63020,20018,868,19499,919,184,100,30,23,9,14,0,20,86,105,210,86,0,20,210,86
8600000US63021,63021,ZCTA5 63021,56552,1006,48700,1157,1809,532,34,34,3999,698,0,26,344,274,1666,453,444,346,1222,314
8600000US63023,63023,ZCTA5 63023,5662,583,5612,582,0,15,0,15,23,35,0,15,0,15,27,30,0,15,27,30
8600000US63025,63025,ZCTA5 63025,13148,638,12480,605,101,108,37,42,264,163,0,17,0,17,266,164,0,17,266,164
8600000US63026,63026,ZCTA5 63026,44121,970,42082,1030,476,221,14,19,752,306,0,23,102,66,695,255,97,129,598,222
